,ICD-10-CM Code,ICD-10-CM Code Description,CCSR Category,CCSR Category Description,Default CCSR (Y/N/X),Rationale,ICD10 description,Risk factors description
154,I15.2,Hypertension secondary to endocrine disorders,CIR008,Hypertension with complications and secondary hypertension,Y,0 Not Applicable,I15 Secondary hypertension,Hypertension
155,I15.8,Other secondary hypertension,CIR008,Hypertension with complications and secondary hypertension,Y,0 Not Applicable,I15 Secondary hypertension,Hypertension
156,I15.9,"Secondary hypertension, unspecified",CIR008,Hypertension with complications and secondary hypertension,Y,0 Not Applicable,I15 Secondary hypertension,Hypertension
157,O10.411,"Pre-existing secondary hypertension complicating pregnancy, first trimester",CIR008,Hypertension with complications and secondary hypertension,N,"03 Pregnancy, perinatal, and congenital malformation","O10 Pre-existing hypertension complicating pregnancy, childbirth and the puerperium",Hypertension
158,O10.412,"Pre-existing secondary hypertension complicating pregnancy, second trimester",CIR008,Hypertension with complications and secondary hypertension,N,"03 Pregnancy, perinatal, and congenital malformation","O10 Pre-existing hypertension complicating pregnancy, childbirth and the puerperium",Hypertension
159,O10.413,"Pre-existing secondary hypertension complicating pregnancy, third trimester",CIR008,Hypertension with complications and secondary hypertension,N,"03 Pregnancy, perinatal, and congenital malformation","O10 Pre-existing hypertension complicating pregnancy, childbirth and the puerperium",Hypertension
160,O10.419,"Pre-existing secondary hypertension complicating pregnancy, unspecified trimester",CIR008,Hypertension with complications and secondary hypertension,N,"03 Pregnancy, perinatal, and congenital malformation","O10 Pre-existing hypertension complicating pregnancy, childbirth and the puerperium",Hypertension
161,O10.42,Pre-existing secondary hypertension complicating childbirth,CIR008,Hypertension with complications and secondary hypertension,N,12 More than one CCSR category matches the ICD-10-CM codebook chapter,"O10 Pre-existing hypertension complicating pregnancy, childbirth and the puerperium",Hypertension
162,O10.43,Pre-existing secondary hypertension complicating the puerperium,CIR008,Hypertension with complications and secondary hypertension,N,12 More than one CCSR category matches the ICD-10-CM codebook chapter,"O10 Pre-existing hypertension complicating pregnancy, childbirth and the puerperium",Hypertension
163,O11.1,"Pre-existing hypertension with pre-eclampsia, first trimester",CIR008,Hypertension with complications and secondary hypertension,N,"03 Pregnancy, perinatal, and congenital malformation",O11 Pre-existing hypertension with pre-eclampsia,Hypertension
164,O11.2,"Pre-existing hypertension with pre-eclampsia, second trimester",CIR008,Hypertension with complications and secondary hypertension,N,"03 Pregnancy, perinatal, and congenital malformation",O11 Pre-existing hypertension with pre-eclampsia,Hypertension
165,O11.3,"Pre-existing hypertension with pre-eclampsia, third trimester",CIR008,Hypertension with complications and secondary hypertension,N,"03 Pregnancy, perinatal, and congenital malformation",O11 Pre-existing hypertension with pre-eclampsia,Hypertension
166,O11.4,"Pre-existing hypertension with pre-eclampsia, complicating childbirth",CIR008,Hypertension with complications and secondary hypertension,N,12 More than one CCSR category matches the ICD-10-CM codebook chapter,O11 Pre-existing hypertension with pre-eclampsia,Hypertension
167,O11.5,"Pre-existing hypertension with pre-eclampsia, complicating the puerperium",CIR008,Hypertension with complications and secondary hypertension,N,12 More than one CCSR category matches the ICD-10-CM codebook chapter,O11 Pre-existing hypertension with pre-eclampsia,Hypertension
168,O11.9,"Pre-existing hypertension with pre-eclampsia, unspecified trimester",CIR008,Hypertension with complications and secondary hypertension,N,"03 Pregnancy, perinatal, and congenital malformation",O11 Pre-existing hypertension with pre-eclampsia,Hypertension
169,O13.1,"Gestational [pregnancy-induced] hypertension without significant proteinuria, first trimester",CIR008,Hypertension with complications and secondary hypertension,N,"03 Pregnancy, perinatal, and congenital malformation",O13  Gestational [pregnancy-induced] hypertension without significant proteinuria,Hypertension
170,O13.2,"Gestational [pregnancy-induced] hypertension without significant proteinuria, second trimester",CIR008,Hypertension with complications and secondary hypertension,N,"03 Pregnancy, perinatal, and congenital malformation",O13  Gestational [pregnancy-induced] hypertension without significant proteinuria,Hypertension
171,O13.3,"Gestational [pregnancy-induced] hypertension without significant proteinuria, third trimester",CIR008,Hypertension with complications and secondary hypertension,N,"03 Pregnancy, perinatal, and congenital malformation",O13  Gestational [pregnancy-induced] hypertension without significant proteinuria,Hypertension
172,O13.4,"Gestational [pregnancy-induced] hypertension without significant proteinuria, complicating childbirth",CIR008,Hypertension with complications and secondary hypertension,N,12 More than one CCSR category matches the ICD-10-CM codebook chapter,O13  Gestational [pregnancy-induced] hypertension without significant proteinuria,Hypertension
173,O13.5,"Gestational [pregnancy-induced] hypertension without significant proteinuria, complicating the puerperium",CIR008,Hypertension with complications and secondary hypertension,N,12 More than one CCSR category matches the ICD-10-CM codebook chapter,O13  Gestational [pregnancy-induced] hypertension without significant proteinuria,Hypertension
174,O13.9,"Gestational [pregnancy-induced] hypertension without significant proteinuria, unspecified trimester",CIR008,Hypertension with complications and secondary hypertension,N,"03 Pregnancy, perinatal, and congenital malformation",O13  Gestational [pregnancy-induced] hypertension without significant proteinuria,Hypertension
175,E78.0,Pure hypercholesterolemia,END010,Disorders of lipid metabolism,Y,0 Not Applicable,E78 Disorders of lipoprotein metabolism and other lipidemias,Hyperlipidemia
176,E78.00,"Pure hypercholesterolemia, unspecified",END010,Disorders of lipid metabolism,Y,0 Not Applicable,E78 Disorders of lipoprotein metabolism and other lipidemias,Hyperlipidemia
177,E78.01,Familial hypercholesterolemia,END010,Disorders of lipid metabolism,Y,0 Not Applicable,E78 Disorders of lipoprotein metabolism and other lipidemias,Hyperlipidemia
178,E78.1,Pure hyperglyceridemia,END010,Disorders of lipid metabolism,Y,0 Not Applicable,E78 Disorders of lipoprotein metabolism and other lipidemias,Hyperlipidemia
179,E78.2,Mixed hyperlipidemia,END010,Disorders of lipid metabolism,Y,0 Not Applicable,E78 Disorders of lipoprotein metabolism and other lipidemias,Hyperlipidemia
180,E78.3,Hyperchylomicronemia,END010,Disorders of lipid metabolism,Y,0 Not Applicable,E78 Disorders of lipoprotein metabolism and other lipidemias,Hyperlipidemia
181,E78.4,Other hyperlipidemia,END010,Disorders of lipid metabolism,Y,0 Not Applicable,E78 Disorders of lipoprotein metabolism and other lipidemias,Hyperlipidemia
182,E78.41,Elevated Lipoprotein(a),END010,Disorders of lipid metabolism,Y,0 Not Applicable,E78 Disorders of lipoprotein metabolism and other lipidemias,Hyperlipidemia
183,E78.49,Other hyperlipidemia,END010,Disorders of lipid metabolism,Y,0 Not Applicable,E78 Disorders of lipoprotein metabolism and other lipidemias,Hyperlipidemia
184,E78.5,"Hyperlipidemia, unspecified",END010,Disorders of lipid metabolism,Y,0 Not Applicable,E78 Disorders of lipoprotein metabolism and other lipidemias,Hyperlipidemia
185,E08.00,Diabetes mellitus due to underlying condition with hyperosmolarity without nonketotic hyperglycemic-hyperosmolar coma (NKHHC),END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
186,E08.00,Diabetes mellitus due to underlying condition with hyperosmolarity without nonketotic hyperglycemic-hyperosmolar coma (NKHHC),END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
187,E08.01,Diabetes mellitus due to underlying condition with hyperosmolarity with coma,END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
188,E08.01,Diabetes mellitus due to underlying condition with hyperosmolarity with coma,END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
189,E08.10,Diabetes mellitus due to underlying condition with ketoacidosis without coma,END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
190,E08.10,Diabetes mellitus due to underlying condition with ketoacidosis without coma,END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
191,E08.11,Diabetes mellitus due to underlying condition with ketoacidosis with coma,END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
192,E08.11,Diabetes mellitus due to underlying condition with ketoacidosis with coma,END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
193,E08.21,Diabetes mellitus due to underlying condition with diabetic nephropathy,END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
194,E08.21,Diabetes mellitus due to underlying condition with diabetic nephropathy,END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
195,E08.22,Diabetes mellitus due to underlying condition with diabetic chronic kidney disease,END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
196,E08.22,Diabetes mellitus due to underlying condition with diabetic chronic kidney disease,END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
197,E08.29,Diabetes mellitus due to underlying condition with other diabetic kidney complication,END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
198,E08.29,Diabetes mellitus due to underlying condition with other diabetic kidney complication,END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
199,E08.311,Diabetes mellitus due to underlying condition with unspecified diabetic retinopathy with macular edema,END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
200,E08.311,Diabetes mellitus due to underlying condition with unspecified diabetic retinopathy with macular edema,END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
201,E08.319,Diabetes mellitus due to underlying condition with unspecified diabetic retinopathy without macular edema,END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
202,E08.319,Diabetes mellitus due to underlying condition with unspecified diabetic retinopathy without macular edema,END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
203,E08.321,Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy with macular edema,END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
204,E08.321,Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy with macular edema,END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
205,E08.3211,"Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy with macular edema, right eye",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
206,E08.3211,"Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy with macular edema, right eye",END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
207,E08.3212,"Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy with macular edema, left eye",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
208,E08.3212,"Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy with macular edema, left eye",END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
209,E08.3213,"Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy with macular edema, bilateral",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
210,E08.3213,"Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy with macular edema, bilateral",END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
211,E08.3219,"Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy with macular edema, unspecified eye",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
212,E08.3219,"Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy with macular edema, unspecified eye",END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
213,E08.329,Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy without macular edema,END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
214,E08.329,Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy without macular edema,END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
215,E08.3291,"Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy without macular edema, right eye",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
216,E08.3291,"Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy without macular edema, right eye",END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
217,E08.3292,"Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy without macular edema, left eye",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
218,E08.3292,"Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy without macular edema, left eye",END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
